,Regular,Method1,Method2
1,1000,1014,920
2,1000,1015,969
3,1000,1014,980
4,1000,1020,988
5,1000,1012,992
6,1000,1001,991
7,1000,998,988
8,1000,988,992
9,1000,991,991
10,1000,984,985
11,1000,992,986
12,1000,1002,986
13,1000,1003,984
14,1000,1007,980
15,1000,1001,977
16,1000,1004,982
17,1000,1003,966
18,1000,1004,955
19,1000,1007,955
20,1000,1013,943
21,1000,1011,941
22,1000,1008,926
23,1000,1011,908
24,1000,1012,897
25,1000,1008,884
26,1000,1008,867
27,1000,1013,857
28,1000,1009,846
29,1000,1018,830
30,1000,1022,817
31,1000,998,794
32,1000,991,765
33,1000,991,732
34,1000,984,702
35,1000,988,673
36,1000,1000,651
37,1000,994,624
38,1000,1013,605
39,1000,1016,576
40,1000,1035,552
41,1000,1046,533
42,1000,1048,505
43,1000,1102,483
44,1000,1118,462
45,1000,1104,436
46,1000,1067,401
47,1000,1080,384
48,1000,1068,355
49,1000,1066,330
50,1000,1019,299
51,1000,960,269
52,1000,967,255
53,1000,960,239
54,1000,901,218
55,1000,955,204
56,1000,937,187
57,1000,906,168
58,1000,908,155
59,1000,881,137
60,1000,895,127
61,1000,929,120
62,1000,917,111
63,1000,878,97
64,1000,855,89
65,1000,853,77
66,1000,842,69
67,1000,884,67
68,1000,853,59
69,1000,910,59
70,1000,972,56
71,1000,968,52
72,1000,1066,50
73,1000,1087,47
74,1000,1002,39
75,1000,991,37
76,1000,1020,34
77,1000,1109,34
78,1000,1130,31
79,1000,1139,29
80,1000,961,26
81,1000,1214,26
82,1000,1299,25
83,1000,1388,24
84,1000,1480,23
85,1000,1048,18
86,1000,911,16
87,1000,1054,16
88,1000,1033,15
89,1000,992,13
90,1000,1161,13
91,1000,1385,13
92,1000,742,8
93,1000,851,8
94,1000,703,7
95,1000,539,4
96,1000,610,4
97,1000,693,4
98,1000,795,4
99,1000,920,4
100,1000,581,3
101,1000,276,2
102,1000,307,2
103,1000,343,2
104,1000,0,0
105,1000,0,0
106,1000,0,0
107,1000,0,0
108,1000,0,0
109,1000,0,0
