,Regular,Method1,Method2
1000,1000,0,0
1990,1000,519,5
2980,1000,1056,35
3970,1000,1210,92
4960,1000,940,126
5950,1000,922,176
6940,1000,915,220
7930,1000,955,275
8920,1000,985,327
9910,1000,952,362
10900,1000,984,398
11890,1000,991,433
12880,1000,987,463
13870,1000,997,495
14860,1000,1013,457
15850,1000,1002,491
16840,1000,985,514
17830,1000,989,547
18820,1000,1015,573
19810,1000,1009,607
20800,1000,980,608
21790,1000,1027,648
22780,1000,1016,667
23770,1000,1011,692
24760,1000,1014,701
25750,1000,1021,717
26740,1000,1007,737
27730,1000,987,733
28720,1000,1011,761
29710,1000,1026,754
30700,1000,1038,777
31690,1000,1008,771
32680,1000,1038,807
33670,1000,1050,820
34660,1000,1020,834
35650,1000,1011,834
36640,1000,1029,849
37630,1000,1040,852
38620,1000,1018,853
39610,1000,1032,879
40600,1000,1024,865
41590,1000,1048,890
42580,1000,1034,890
43570,1000,1025,884
44560,1000,1019,890
45550,1000,1016,896
46540,1000,1012,889
47530,1000,1012,899
48520,1000,1001,905
49510,1000,1026,912
50500,1000,1023,935
51490,1000,1022,925
52480,1000,1042,935
53470,1000,1017,935
54460,1000,1009,933
55450,1000,1018,950
56440,1000,1025,937
57430,1000,1016,944
58420,1000,1010,941
59410,1000,988,944
60400,1000,998,950
61390,1000,1013,956
62380,1000,1024,962
63370,1000,1033,975
64360,1000,1031,955
65350,1000,1010,958
66340,1000,1004,960
67330,1000,998,956
68320,1000,1022,976
69310,1000,1029,972
70300,1000,1018,966
71290,1000,1017,969
72280,1000,995,966
73270,1000,986,968
74260,1000,1007,976
75250,1000,978,972
76240,1000,1010,978
77230,1000,999,974
78220,1000,994,979
79210,1000,1003,980
80200,1000,985,974
81190,1000,1006,980
82180,1000,1003,982
83170,1000,991,985
84160,1000,993,984
85150,1000,983,987
86140,1000,1004,983
87130,1000,992,980
88120,1000,1001,990
89110,1000,1013,991
90100,1000,1008,990
91090,1000,1001,987
92080,1000,995,987
93070,1000,983,986
94060,1000,1002,989
95050,1000,1006,991
96040,1000,996,987
97030,1000,989,988
98020,1000,994,988
99010,1000,1001,996
