,Regular,Method1,Method2
1000,1000,1000,1000
34300,34300,1000,1000
67600,67600,1000,1000
100900,100900,1000,1000
134200,134200,1000,1000
167500,167500,1000,1000
200800,200800,1000,1000
234100,234100,1000,1000
267400,267400,1000,1000
300700,300700,1000,1000
334000,334000,1000,1000
367300,367300,1000,1000
400600,400600,1000,1000
433900,433900,1000,1000
467200,467200,1000,1000
500500,500500,1000,1000
533800,533800,1000,1000
567100,567100,1000,1000
600400,600400,1000,1000
633700,633700,1000,1000
667000,667000,1000,1000
700300,700300,1000,1000
733600,733600,1000,1000
766900,766900,1000,1000
800200,800200,1000,1000
833500,833500,1000,1000
866800,866800,1000,1000
900100,900100,1000,1000
933400,933400,1000,1000
966700,966700,1000,1000
