,Regular,Method1,Method2
10000,46666,0,31
19900,46430,0,31
29800,46865,0,31
39700,46660,1,30
49600,46468,1,30
59500,46537,0,30
69400,46459,0,31
79300,46685,0,31
89200,46720,0,31
99100,46463,1,30
109000,45988,0,30
118900,46262,0,31
128800,46286,0,31
138700,45870,1,31
148600,46683,1,58
158500,46048,0,59
168400,45963,0,59
178300,46192,0,59
188200,45978,1,57
198100,46118,1,59
208000,45884,1,60
217900,46162,1,60
227800,46549,1,59
237700,46118,1,59
247600,46186,1,59
257500,46028,1,59
267400,45969,1,59
277300,46237,1,59
287200,46429,1,59
297100,46564,1,85
307000,46206,1,86
316900,46501,1,86
326800,46371,1,87
336700,46186,2,85
346600,46190,1,87
356500,45974,1,85
366400,46438,1,85
376300,46299,2,84
386200,46159,1,85
396100,46305,2,85
406000,46443,2,85
415900,46339,2,85
425800,46161,2,85
435700,46462,2,112
445600,46281,1,113
455500,46473,2,114
465400,46384,2,111
475300,45949,1,113
485200,45732,2,112
495100,45578,2,113
505000,46053,2,113
514900,45853,2,118
524800,45715,2,115
534700,45957,2,112
544600,46115,2,111
554500,45748,2,111
564400,45879,3,111
574300,45887,3,110
584200,45667,2,140
594100,45647,3,137
604000,45652,2,140
613900,45887,2,138
623800,45625,2,139
633700,45772,2,139
643600,45988,3,145
653500,45808,2,138
663400,45779,2,138
673300,45988,3,139
683200,45894,3,137
693100,46083,3,139
703000,45959,2,140
712900,45845,3,136
722800,45911,3,163
732700,45909,3,163
742600,46009,3,164
752500,45885,3,170
762400,45636,3,165
772300,46181,3,166
782200,45864,3,164
792100,45921,3,165
802000,45868,3,164
811900,45867,3,165
821800,45919,3,166
831700,45865,3,166
841600,45894,4,166
851500,45800,4,164
861400,45810,3,171
871300,45881,3,194
881200,45958,3,189
891100,45674,3,191
901000,45781,3,190
910900,45719,3,193
920800,45629,4,190
930700,45669,3,191
940600,45597,4,192
950500,46036,3,190
960400,46076,4,190
970300,45839,4,192
980200,45806,3,188
990100,45919,3,190
